,Title,US Gross,Worldwide Gross,US DVD Sales,Production Budget,Release_Date,MPAA Rating,Running Time (min),Distributor,Source,Type,Creative Type,Director,Rotten Tomatoes Rating,IMDB Rating,IMDB Votes
526,Loaded Weapon 1,27979399,27979399,NA,13000000,5-Feb-93,PG-13,NA,New Line,Original Screenplay,Comedy,Contemporary Fiction,NA,NA,5.7,17637
527,The Lost Weekend,11000000,11000000,NA,1250000,1945,NA,NA,NA,NA,NA,NA,Billy Wilder,100,8.2,11864
528,Le petit Nicolas,201857,52339566,NA,30000000,19-Feb-10,NA,NA,NA,NA,NA,NA,NA,NA,6.9,1505
529,Logan's Run,25000000,25000000,NA,7000000,1976,NA,NA,NA,NA,NA,Science Fiction,NA,70,6.7,14947
530,Betty Fisher et autres histoires,206400,206400,NA,7500000,13-Sep-02,Not Rated,NA,WellSpring,Based on Book/Short Story,Drama,NA,NA,NA,6.9,1054
531,Light Sleeper,1050861,1050861,NA,5000000,21-Sep-92,NA,NA,NA,NA,NA,NA,NA,94,6.7,1986
532,Little Shop of Horrors,38747385,38747385,NA,30000000,19-Dec-86,NA,NA,Warner Bros.,Remake,Musical,Fantasy,Frank Oz,91,6.6,21521
533,Lone Star,12961389,12961389,NA,5000000,21-Jun-96,R,NA,Sony Pictures Classics,Original Screenplay,Drama,Contemporary Fiction,John Sayles,92,7.6,14599
534,Latter Days,833118,833118,NA,850000,30-Jan-04,R,NA,TLA Releasing,NA,Drama,Contemporary Fiction,NA,NA,7.4,7157
535,Lethal Weapon,65192350,120192350,NA,15000000,6-Mar-87,NA,NA,Warner Bros.,Original Screenplay,Action,Contemporary Fiction,Richard Donner,90,7.6,54994
536,Lethal Weapon 3,144731527,319700000,NA,35000000,15-May-92,R,NA,Warner Bros.,Original Screenplay,Action,Contemporary Fiction,Richard Donner,56,6.5,39735
537,The Last Time I Committed Suicide,12836,12836,NA,4000000,20-Jun-97,R,NA,Roxie Releasing,NA,NA,NA,NA,NA,5.7,1181
538,Little Voice,4595000,4595000,NA,6000000,4-Dec-98,R,NA,Miramax,Based on Play,Musical,Contemporary Fiction,NA,83,6.9,8453
539,The Last Temptation of Christ,8373585,8373585,NA,7000000,12-Aug-88,NA,NA,Universal,Based on Book/Short Story,Drama,Historical Fiction,Martin Scorsese,83,7.5,20934
540,License to Kill,34667015,156167015,NA,42000000,14-Jul-89,NA,NA,MGM,Based on Book/Short Story,Action,Contemporary Fiction,John Glen,NA,6.5,24558
541,Cama adentro,200433,200433,NA,800000,18-Jul-07,Not Rated,NA,Film Sales Company,Original Screenplay,Drama,Historical Fiction,NA,NA,7.2,466
542,Leaving Las Vegas,31983777,49800000,NA,4000000,27-Oct-95,R,NA,MGM,Based on Book/Short Story,Drama,Contemporary Fiction,Mike Figgis,89,7.6,42131
543,The Lawnmower Man,32100816,32100816,NA,10000000,6-Mar-92,NA,NA,New Line,Original Screenplay,Action,Science Fiction,NA,47,5.1,12607
544,Lone Wolf McQuade,12232628,12232628,NA,5000000,15-Apr-83,NA,NA,Orion Pictures,Original Screenplay,Action,Contemporary Fiction,NA,NA,5.8,2917
545,Little Women,50003303,50003303,NA,15000000,21-Dec-94,PG,NA,Sony Pictures,Based on Book/Short Story,Drama,Historical Fiction,NA,89,7.1,16514
546,Lawrence of Arabia,37495385,69995385,NA,15000000,16-Dec-62,NA,NA,Sony Pictures,Based on Book/Short Story,Adventure,Dramatization,David Lean,98,8.6,79421
547,Menace II Society,27731527,27731527,NA,3500000,26-May-93,R,NA,New Line,Original Screenplay,Action,Contemporary Fiction,Albert Hughes,85,7.4,14807
548,Much Ado About Nothing,22549338,22549338,NA,8000000,7-May-93,NA,NA,Goldwyn Entertainment,Based on Play,Drama,Historical Fiction,Kenneth Branagh,90,7.4,22470
549,Major Dundee,14873,14873,NA,3800000,7-Apr-65,PG-13,NA,Sony Pictures,Based on Book/Short Story,Western,Historical Fiction,NA,97,6.7,2588
550,Mata Hari,900000,900000,NA,558000,1931,NA,NA,MGM,NA,NA,NA,NA,NA,2.2,376
551,Malcolm X,48169910,48169910,NA,35000000,18-Nov-92,NA,NA,Warner Bros.,Based on Book/Short Story,Drama,Dramatization,Spike Lee,90,7.7,23062
552,Maniac,10000000,10000000,NA,350000,1980,NA,NA,NA,NA,NA,NA,NA,NA,6.2,3281
553,Mary Poppins,102300000,102300000,NA,6000000,26-Aug-64,NA,NA,NA,NA,Musical,NA,NA,100,7.7,34302
554,Mary Reilly,5707094,6370115,NA,47000000,23-Feb-96,R,NA,Sony Pictures,Based on Book/Short Story,Drama,Historical Fiction,Stephen Frears,27,5.5,6864
555,Maximum Risk,14102929,51702929,NA,25000000,13-Sep-96,R,NA,Sony Pictures,Original Screenplay,Action,Contemporary Fiction,NA,29,4.9,7064
556,M*A*S*H,81600000,81600000,NA,3500000,1-Jan-70,R,NA,NA,NA,NA,NA,Robert Altman,NA,8.6,8043
557,The Mask,119920129,343900000,NA,18000000,29-Jul-94,PG-13,NA,New Line,Based on Comic/Graphic Novel,Comedy,Fantasy,Chuck Russell,75,6.6,72981
558,Mars Attacks!,37771017,101371017,NA,80000000,13-Dec-96,PG-13,110,Warner Bros.,Original Screenplay,Comedy,Science Fiction,Tim Burton,50,6.3,76396
559,Mo' Better Blues,16153000,16153000,NA,10000000,3-Aug-90,NA,NA,Universal,Original Screenplay,Drama,Contemporary Fiction,Spike Lee,72,6.3,4210
560,Moby Dick,10400000,10400000,NA,4500000,1956,NA,NA,NA,Based on Book/Short Story,Adventure,Historical Fiction,John Huston,67,7.4,5969
561,Michael Jordan to the MAX,18642318,18642318,NA,7000000,5-May-00,Not Rated,46,Giant Screen Films,Based on Real Life Events,Documentary,Factual,NA,64,7.2,746
562,Michael Collins,11092559,27572844,NA,25000000,11-Oct-96,R,NA,Warner Bros.,Based on Real Life Events,Drama,Dramatization,Neil Jordan,77,6.9,11805
563,My Cousin Vinny,52929168,52929168,NA,11000000,13-Mar-92,NA,NA,20th Century Fox,Original Screenplay,Comedy,Contemporary Fiction,NA,86,7.3,30524
564,Medicine Man,44948240,44948240,NA,40000000,7-Feb-92,NA,87,Walt Disney Pictures,Original Screenplay,Drama,Contemporary Fiction,John McTiernan,22,5.7,9307
565,Madadayo,48856,48856,NA,11900000,20-Mar-98,NA,NA,WinStar Cinema,Based on Real Life Events,Drama,Dramatization,Akira Kurosawa,NA,7.4,1748
566,Modern Problems,24474312,24474312,NA,8000000,25-Dec-81,NA,NA,20th Century Fox,Original Screenplay,Comedy,Contemporary Fiction,NA,NA,4.5,2144
567,Amadeus,51973029,51973029,NA,18000000,19-Sep-84,R,NA,Warner Bros.,Based on Play,Drama,Dramatization,Milos Forman,96,8.4,96997
568,Modern Times,163245,163245,NA,1500000,5-Feb-36,NA,NA,Kino International,NA,Comedy,NA,NA,100,8.5,35773
569,The Mighty Ducks,50752337,50752337,NA,10000000,2-Oct-92,PG,NA,Walt Disney Pictures,Original Screenplay,Comedy,Contemporary Fiction,Stephen Herek,8,5.9,15479
570,A Man for All Seasons,28350000,28350000,NA,3900000,12-Dec-66,NA,NA,Sony Pictures,NA,NA,NA,Fred Zinnemann,85,8.1,12460
571,Megaforce,5675599,5675599,NA,18000000,25-Jun-82,NA,NA,20th Century Fox,Original Screenplay,Action,Science Fiction,Hal Needham,NA,2.5,1446
572,The Mirror Has Two Faces,41267469,41267469,NA,42000000,15-Nov-96,PG-13,127,Sony Pictures,Original Screenplay,Romantic Comedy,Contemporary Fiction,Barbra Streisand,54,6,6055
573,Midnight Cowboy,44785053,44785053,NA,3600000,25-May-69,R,NA,MGM,NA,NA,NA,John Schlesinger,90,8,34053
574,Midnight Run,38413606,81613606,NA,30000000,20-Jul-88,NA,NA,Universal,Original Screenplay,Action,Contemporary Fiction,Martin Brest,96,7.5,24104
575,Major League,49793054,49793054,NA,11000000,7-Apr-89,NA,NA,Paramount Pictures,Original Screenplay,Comedy,Contemporary Fiction,NA,84,6.9,20798
576,The Molly Maguires,2200000,2200000,NA,11000000,1970,PG,NA,NA,NA,NA,NA,Martin Ritt,89,6.8,1304
577,Malevolence,126021,257516,NA,200000,10-Sep-04,R,NA,Painted Zebra Releasing,Original Screenplay,Horror,NA,NA,31,5,248
578,Mad Max 2: The Road Warrior,24600832,24600832,NA,2000000,21-May-82,NA,NA,Warner Bros.,NA,Action,Science Fiction,George Miller,NA,NA,NA
579,It's a Mad Mad Mad Mad World,46300000,60000000,NA,9400000,7-Nov-63,NA,NA,NA,NA,NA,NA,NA,NA,7.5,14460
580,Mad Max,8750000,99750000,NA,200000,21-Mar-80,NA,NA,NA,NA,Action,Science Fiction,George Miller,NA,6.9,36548
581,Mad Max Beyond Thunderdome,36230219,36230219,NA,10000000,10-Jul-85,NA,NA,Warner Bros.,NA,Action,Science Fiction,George Miller,NA,5.9,24273
582,The Man From Snowy River,20659423,20659423,NA,5000000,3-Nov-82,NA,NA,20th Century Fox,Original Screenplay,Drama,Historical Fiction,George Miller,80,7,3101
583,Monty Python and the Holy Grail,3427696,5028948,NA,400000,10-May-75,NA,NA,NA,NA,NA,NA,NA,NA,8.4,155049
584,Men with Brooms,4239767,4239767,NA,7500000,8-Mar-02,R,NA,Artisan,Original Screenplay,Comedy,Contemporary Fiction,NA,63,5.8,2559
585,Mutiny on The Bounty,13680000,13680000,NA,19000000,8-Nov-62,NA,NA,MGM,NA,NA,NA,NA,69,7.9,7608
586,Mommie Dearest,19032000,25032000,NA,5000000,18-Sep-81,NA,NA,Paramount Pictures,Based on Book/Short Story,Drama,Dramatization,Frank Perry,57,6.3,4905
587,March or Die,1000000,1000000,NA,7000000,5-Aug-77,NA,NA,Sony Pictures,NA,NA,NA,NA,NA,6.1,1233
588,Memoirs of an Invisible Man,14358033,14358033,NA,40000000,28-Feb-92,NA,NA,Warner Bros.,Based on Book/Short Story,Comedy,Science Fiction,John Carpenter,24,5.8,8522
589,The Mongol King,900,900,NA,7000,2004,Not Rated,NA,NA,Original Screenplay,Drama,NA,NA,NA,NA,NA
590,My Own Private Idaho,6401336,6401336,NA,2500000,29-Sep-91,NA,NA,Fine Line,Based on Book/Short Story,Black Comedy,Contemporary Fiction,Gus Van Sant,84,7,17604
591,Moonraker,70300000,210300000,NA,31000000,29-Jun-79,NA,NA,MGM,Based on Book/Short Story,Action,Contemporary Fiction,NA,64,6.1,26760
592,Money Train,35324232,77224232,NA,68000000,22-Nov-95,R,NA,Sony Pictures,Original Screenplay,Action,Contemporary Fiction,Joseph Ruben,17,5.2,13972
593,Metropolitan,2938000,2938000,NA,430000,3-Aug-90,NA,NA,NA,NA,NA,NA,Whit Stillman,88,7.2,3355
594,The Life of Brian,20008693,20008693,NA,4000000,17-Aug-79,Not Rated,NA,Rainbow Releasing,Original Screenplay,Comedy,Historical Fiction,NA,NA,NA,NA
595,Mallrats,2108367,2108367,NA,6100000,20-Oct-95,R,NA,Gramercy,Original Screenplay,Comedy,Contemporary Fiction,Kevin Smith,53,7.1,52807
596,American Desi,902835,1366235,NA,250000,16-Mar-01,Not Rated,NA,Eros Entertainment,Original Screenplay,Romantic Comedy,Contemporary Fiction,NA,42,6.7,1047
597,Mrs. Winterbourne,10039566,10039566,NA,25000000,19-Apr-96,PG-13,NA,Sony Pictures,Based on Book/Short Story,Romantic Comedy,Contemporary Fiction,Richard Benjamin,7,5.8,2987
598,Mrs. Doubtfire,219195051,441286003,NA,25000000,24-Nov-93,PG-13,NA,20th Century Fox,Based on Book/Short Story,Comedy,Contemporary Fiction,Chris Columbus,64,6.6,56917
599,Mr. Smith Goes To Washington,9000000,9000000,NA,1500000,1939,NA,NA,Sony/Columbia,Original Screenplay,Drama,NA,Frank Capra,97,8.2,33315
600,Mortal Kombat,70433227,122133227,NA,20000000,18-Aug-95,PG-13,NA,New Line,Based on Game,Action,Fantasy,Paul Anderson,35,5.4,29605
601,Frankenstein,22006296,112006296,NA,45000000,4-Nov-94,R,NA,Sony Pictures,Based on Book/Short Story,Horror,NA,Kenneth Branagh,NA,6.2,19913
602,The Misfits,8200000,8200000,NA,4000000,1961,NA,NA,NA,NA,NA,NA,John Huston,100,7.4,6351
603,My Stepmother Is an Alien,13854000,13854000,NA,16000000,9-Dec-88,NA,NA,Sony Pictures,Original Screenplay,Comedy,Science Fiction,Richard Benjamin,13,4.8,9073
604,The Man Who Shot Liberty Valance,8000000,8000000,NA,3200000,1-Jan-62,NA,NA,NA,NA,NA,NA,John Ford,97,8.1,22681
605,Mission: Impossible,180981886,456481886,NA,80000000,21-May-96,PG-13,110,Paramount Pictures,Based on TV,Action,Contemporary Fiction,Brian De Palma,NA,6.9,86222
606,Meteor,8400000,8400000,NA,16000000,1979,NA,NA,NA,NA,NA,NA,Ronald Neame,9,4.7,2969
607,Multiplicity,20133326,20133326,NA,45000000,17-Jul-96,PG-13,117,Sony Pictures,Based on Book/Short Story,Comedy,Science Fiction,Harold Ramis,44,5.7,11935
608,Mutual Appreciation,103509,103509,NA,30000,1-Sep-06,R,NA,Goodbye Cruel Releasing,Original Screenplay,Comedy,Contemporary Fiction,NA,NA,7,1102
609,The Muppet Christmas Carol,27281507,27281507,NA,12000000,11-Dec-92,NA,NA,Walt Disney Pictures,Based on TV,Comedy,NA,NA,67,7.5,10853
610,The Man with the Golden Gun,21000000,97600000,NA,7000000,20-Dec-74,NA,NA,MGM,Based on Book/Short Story,Action,NA,Guy Hamilton,52,6.7,22431
611,My Fair Lady,72000000,72000000,NA,17000000,22-Oct-64,NA,NA,NA,Based on Musical/Opera,Musical,Historical Fiction,George Cukor,94,7.9,28039
612,Mystic Pizza,12793213,12793213,NA,6000000,21-Oct-88,NA,NA,Samuel Goldwyn Films,Original Screenplay,Comedy,Contemporary Fiction,Donald Petrie,82,5.9,8413
613,Namastey London,1207007,6831069,NA,8400000,23-Mar-07,Not Rated,NA,Eros Entertainment,Original Screenplay,Romantic Comedy,Contemporary Fiction,NA,NA,6.7,1511
614,Naturally Native,10508,10508,NA,700000,8-Oct-99,PG-13,NA,NA,NA,NA,NA,NA,NA,6.8,91
615,Inchon,4408636,4408636,NA,46000000,17-Sep-82,NA,NA,MGM,Original Screenplay,Drama,Historical Fiction,NA,NA,3,326
616,Indiana Jones and the Temple of Doom,179880271,333080271,18998388,28000000,23-May-84,NA,NA,Paramount Pictures,Original Screenplay,Adventure,Historical Fiction,Steven Spielberg,85,7.5,110761
617,Indiana Jones and the Last Crusade,197171806,474171806,18740425,48000000,24-May-89,NA,NA,Paramount Pictures,Original Screenplay,Adventure,Historical Fiction,Steven Spielberg,89,8.3,171572
618,Neal n' Nikki,100358,329621,NA,1300000,9-Dec-05,Not Rated,NA,Yash Raj Films,NA,Drama,NA,NA,NA,3.5,494
619,A Nightmare on Elm Street 4: The Dream Master,49369899,49369899,NA,13000000,19-Aug-88,NA,NA,New Line,Original Screenplay,Horror,Fantasy,Renny Harlin,NA,5.2,13310
620,"Next Stop, Wonderland",3386698,3456820,NA,1000000,21-Aug-98,R,NA,Miramax,Original Screenplay,Romantic Comedy,Contemporary Fiction,Brad Anderson,NA,NA,NA
621,Nighthawks,14600000,19600000,NA,5000000,10-Apr-81,NA,NA,Universal,Original Screenplay,Action,Contemporary Fiction,NA,71,6.3,5649
622,The English Patient,78716374,231716374,NA,35000000,15-Nov-96,R,160,Miramax,Based on Book/Short Story,Drama,Historical Fiction,Anthony Minghella,83,7.3,54484
623,Niagara,2500000,2500000,NA,1250000,21-Jan-53,NA,NA,20th Century Fox,NA,NA,NA,NA,NA,7,4698
624,The Naked Gun 2Ω: The Smell of Fear,86930411,86930411,NA,23000000,28-Jun-91,NA,NA,Paramount Pictures,Based on TV,Comedy,Contemporary Fiction,David Zucker,NA,6.6,26384
625,Naked Gun 33 1/3: The Final Insult,51041856,51041856,NA,30000000,18-Mar-94,PG-13,NA,Paramount Pictures,Based on TV,Comedy,Contemporary Fiction,Peter Segal,NA,6.1,24904
626,National Lampoon's Animal House,141600000,141600000,NA,3000000,28-Jul-78,R,NA,Universal,NA,NA,NA,John Landis,90,NA,NA
627,Night of the Living Dead,12000000,30000000,NA,114000,1-Oct-68,Not Rated,NA,Walter Reade Organization,Original Screenplay,Horror,Science Fiction,NA,96,6.6,10083
628,No Looking Back,143273,143273,NA,5000000,27-Mar-98,R,NA,Gramercy,NA,NA,NA,Edward Burns,38,5.7,1145
629,The Nun's Story,12800000,12800000,NA,3500000,1959,NA,NA,NA,NA,NA,NA,Fred Zinnemann,93,7.5,3313
630,A Nightmare on Elm Street,25504513,25504513,NA,1800000,9-Nov-84,NA,NA,New Line,Original Screenplay,Horror,Fantasy,Wes Craven,95,5.3,12554
631,A Nightmare On Elm Street Part 2: Freddy's Revenge,21163999,21163999,NA,3000000,1-Nov-85,NA,NA,New Line,Original Screenplay,Horror,Fantasy,NA,NA,4.9,16222
632,A Nightmare On Elm Street 3: Dream Warriors,44793222,44793222,NA,5000000,27-Feb-87,NA,NA,New Line,Original Screenplay,Horror,Fantasy,Chuck Russell,NA,6.2,17354
633,A Nightmare On Elm Street: The Dream Child,22168359,22168359,NA,6000000,11-Aug-89,NA,NA,New Line,Original Screenplay,Horror,Fantasy,Stephen Hopkins,NA,4.7,10849
634,Freddy's Dead: The Final Nightmare,34872033,34872033,NA,5000000,13-Sep-91,R,NA,New Line,Original Screenplay,Horror,Fantasy,NA,NA,4.5,12779
635,Fes Craven's New Nightmare,18090181,18090181,NA,8000000,14-Oct-94,R,NA,New Line,Original Screenplay,Horror,Fantasy,Wes Craven,81,NA,NA
637,Notorious,24464742,24464742,NA,2000000,1946,NA,NA,NA,NA,NA,NA,Alfred Hitchcock,97,6.3,9811
638,Never Say Never Again,55500000,160000000,NA,36000000,7-Oct-83,NA,NA,Warner Bros.,Based on Book/Short Story,Action,Contemporary Fiction,NA,65,6,21247
639,The Nutcracker,2119994,2119994,NA,19000000,1993,NA,NA,NA,NA,NA,NA,Emile Ardolino,50,5.2,561
640,Nowhere to Run,22189039,52189039,NA,15000000,15-Jan-93,NA,NA,Sony/Columbia,Original Screenplay,Action,Contemporary Fiction,NA,26,5,6746
641,Interview with the Vampire: The Vampire Chronicles,105264608,223564608,NA,50000000,11-Nov-94,R,NA,Warner Bros.,Based on Book/Short Story,Horror,Fantasy,Neil Jordan,NA,7.4,78953
642,The Nutty Professor,128814019,273814019,NA,55000000,28-Jun-96,PG-13,95,Universal,Remake,Comedy,Kids Fiction,Tom Shadyac,67,5.6,32234
643,Die Unendliche Geschichte,21300000,21300000,NA,27000000,20-Jul-84,NA,NA,Warner Bros.,Based on Book/Short Story,Adventure,Fantasy,Wolfgang Petersen,NA,7.4,25704
644,Interview with the Assassin,47329,47329,NA,750000,15-Nov-02,R,NA,NA,NA,NA,NA,NA,67,6.6,1107
645,Nixon,13668249,34668249,NA,45000000,20-Dec-95,R,NA,Walt Disney Pictures,Based on Real Life Events,Drama,Dramatization,Oliver Stone,75,7.1,13761
646,"New York, New York",13800000,13800000,NA,14000000,22-Jun-77,NA,NA,MGM,Original Screenplay,Musical,NA,Martin Scorsese,63,6.7,1692
647,New York Stories,10763469,10763469,NA,15000000,1-Mar-89,NA,NA,Walt Disney Pictures,Original Screenplay,Drama,Contemporary Fiction,Francis Ford Coppola,74,6.1,6906
648,Obitaemyy ostrov,0,15000000,NA,36500000,1-Jan-09,NA,NA,NA,Based on Book/Short Story,Action,Science Fiction,NA,NA,5.5,2229
649,Octopussy,67900000,187500000,NA,27500000,10-Jun-83,NA,NA,MGM,Based on Book/Short Story,Action,Contemporary Fiction,John Glen,47,6.6,23167
650,On Deadly Ground,38590458,38590458,NA,50000000,18-Feb-94,R,NA,Warner Bros.,Original Screenplay,Action,Contemporary Fiction,Steven Seagal,NA,3.8,9579
651,One Flew Over the Cuckoo's Nest,108981275,108981275,NA,4400000,19-Nov-75,NA,NA,MGM,Based on Book/Short Story,NA,NA,Milos Forman,96,8.9,214457
652,The Offspring,1355728,1355728,NA,1100000,4-Sep-87,NA,NA,Moviestore Entertainment,Original Screenplay,Horror,Contemporary Fiction,Jeff Burr,NA,5.6,424
653,On Her Majesty's Secret Service,22800000,82000000,NA,8000000,18-Dec-69,NA,NA,MGM,Based on Book/Short Story,Action,NA,NA,81,6.9,23159
654,The Omen,48570885,48570885,NA,2800000,25-Jun-76,NA,NA,20th Century Fox,Original Screenplay,Horror,NA,Richard Donner,84,5.4,24523
655,The Omega Code,12610552,12678312,NA,7200000,15-Oct-99,PG-13,NA,Providence Entertainment,Original Screenplay,Action,Fantasy,NA,8,3.3,3814
656,Out of Africa,79096868,258210860,NA,31000000,18-Dec-85,NA,NA,Universal,Based on Book/Short Story,Drama,Historical Fiction,Sydney Pollack,63,7,19638
657,Out of the Dark,419428,419428,NA,1600000,11-Mar-89,NA,NA,New Line,NA,NA,NA,NA,NA,5.1,230
658,Ordinary People,52302978,52302978,NA,6000000,19-Sep-80,NA,NA,Paramount Pictures,Based on Book/Short Story,Drama,Contemporary Fiction,Robert Redford,91,7,138
659,The Other Side of Heaven,4720371,4720371,NA,7000000,14-Dec-01,PG,NA,Excel Entertainment,Based on Book/Short Story,Drama,Dramatization,NA,NA,6.3,1670
660,On the Down Low,1987,1987,NA,10000,28-May-04,Not Rated,NA,Cinema Con Sabor,Original Screenplay,Drama,NA,NA,NA,6.3,113
661,Othello,2844379,2844379,NA,11000000,14-Dec-95,R,NA,Sony Pictures,Based on Play,Drama,Historical Fiction,NA,68,6.9,4289
662,On the Outs,49772,49772,NA,250000,15-Jul-05,R,NA,Fader Films,NA,Drama,NA,NA,NA,6.5,445
663,On the Waterfront,9600000,9600000,NA,910000,28-Jul-54,NA,NA,NA,NA,NA,NA,Elia Kazan,100,8.4,41162
664,Outbreak,67823573,67823573,NA,50000000,10-Mar-95,R,NA,Warner Bros.,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Wolfgang Petersen,59,6.4,33192
665,The Outsiders,25697647,25697647,NA,10000000,25-Mar-83,PG-13,NA,Warner Bros.,Based on Book/Short Story,Drama,Historical Fiction,Francis Ford Coppola,65,7,23607
666,The Oxford Murders,3607,8667348,NA,10000000,6-Aug-10,R,NA,Magnolia Pictures,Based on Book/Short Story,Thriller/Suspense,Contemporary Fiction,NA,10,6.1,8066
667,Police Academy,81198894,81198894,NA,4500000,23-Mar-84,NA,NA,Warner Bros.,Original Screenplay,Comedy,Contemporary Fiction,Hugh Wilson,47,6.3,23192
668,Police Academy 7: Mission to Moscow,126247,126247,NA,10000000,26-Aug-94,PG,NA,Warner Bros.,Original Screenplay,Comedy,Contemporary Fiction,NA,NA,2.5,13121
669,Paa,199228,9791282,NA,4300000,4-Dec-09,NA,NA,Reliance Big Pictures,NA,NA,NA,NA,60,7.3,1059
670,Pale Rider,41410568,41410568,NA,6900000,28-Jun-85,NA,NA,Warner Bros.,Original Screenplay,Western,Historical Fiction,Clint Eastwood,92,7.1,15352
671,Patriot Games,83287363,178100000,NA,45000000,5-Jun-92,NA,NA,Paramount Pictures,Based on Book/Short Story,Action,Contemporary Fiction,Phillip Noyce,75,6.9,29544
672,The Pallbearer,5656388,5656388,NA,8000000,3-May-96,PG-13,NA,Miramax,Original Screenplay,Romantic Comedy,Contemporary Fiction,Matt Reeves,39,4.7,4166
673,Pocahontas,141579773,347100000,NA,55000000,10-Jun-95,G,NA,Walt Disney Pictures,Based on Real Life Events,Adventure,Historical Fiction,NA,55,6,26690
674,Pocketful of Miracles,5000000,5000000,NA,2900000,1961,NA,NA,NA,NA,NA,NA,Frank Capra,63,7.2,2365
675,PCU,4333569,4333569,NA,9000000,29-Apr-94,PG-13,NA,20th Century Fox,Original Screenplay,Comedy,Contemporary Fiction,NA,47,6,6967
676,Pete's Dragon,36000000,36000000,NA,10000000,3-Nov-77,NA,NA,NA,NA,NA,NA,NA,50,6,4620
677,Pat Garrett and Billy the Kid,8000000,11000000,NA,4638783,23-May-73,R,NA,NA,NA,NA,NA,Sam Peckinpah,NA,7.3,6374
678,Poltergeist,74706019,121706019,NA,10700000,4-Jun-82,NA,NA,MGM,Original Screenplay,Horror,Fantasy,Tobe Hooper,86,7.4,32817
679,Poltergeist III,14114000,14114000,NA,9500000,10-Jun-88,NA,NA,MGM,Original Screenplay,Horror,Fantasy,NA,14,3.8,5387
680,Phantasm II,7000000,7000000,NA,3000000,8-Jul-88,NA,NA,Universal,NA,Horror,Fantasy,NA,29,6.3,3781
681,Phenomenon,104636382,142836382,NA,32000000,5-Jul-96,PG,124,Walt Disney Pictures,Original Screenplay,Drama,Contemporary Fiction,Jon Turteltaub,50,6.3,26823
682,Philadelphia,77324422,201324422,NA,26000000,22-Dec-93,NA,NA,Sony/TriStar,Original Screenplay,Drama,Contemporary Fiction,Jonathan Demme,74,7.6,53283
683,The Phantom,17220599,17220599,NA,45000000,7-Jun-96,PG,100,Paramount Pictures,Based on Comic/Graphic Novel,Action,Super Hero,Simon Wincer,43,4.8,9477
684,Pi,3221152,4678513,NA,68000,10-Jul-98,R,NA,Live Entertainment,Original Screenplay,Thriller/Suspense,Science Fiction,Darren Aronofsky,86,7.5,53699
685,Pink Flamingos,413802,413802,NA,12000,11-Apr-97,NC-17,NA,Fine Line,NA,NA,NA,John Waters,NA,5.8,7947
686,The Pirate,2956000,2956000,NA,3700000,1948,NA,NA,NA,NA,NA,NA,Vincente Minnelli,71,7.1,1635
687,The Planet of the Apes,33395426,33395426,NA,5800000,8-Feb-68,NA,NA,NA,NA,NA,NA,Franklin J. Schaffner,NA,NA,NA
688,The Player,21706101,28876702,NA,8000000,10-Apr-92,R,NA,Fine Line,Based on Book/Short Story,Black Comedy,Contemporary Fiction,Robert Altman,NA,7.7,24451
689,Apollo 13,172070496,334100000,NA,65000000,30-Jun-95,PG,NA,Universal,Based on Book/Short Story,Drama,Dramatization,Ron Howard,NA,7.5,87605
690,Platoon,137963328,137963328,NA,6000000,19-Dec-86,NA,NA,Orion Pictures,Original Screenplay,Drama,Historical Fiction,Oliver Stone,86,8.2,108641
691,Panic,779137,889279,NA,1000000,1-Dec-00,R,NA,Roxie Releasing,Original Screenplay,Drama,Contemporary Fiction,NA,92,2.7,473
692,The Adventures of Pinocchio,15382170,36682170,NA,25000000,26-Jul-96,G,94,New Line,Based on Book/Short Story,Adventure,Fantasy,Steve Barron,27,5.3,1734
693,Pandora's Box,881950,881950,NA,800000,9-Aug-02,R,NA,Kino International,Original Screenplay,Thriller/Suspense,Contemporary Fiction,NA,NA,4.6,386
694,Pink Narcissus,8231,8231,NA,27000,24-Dec-99,Not Rated,NA,NA,NA,NA,NA,NA,NA,6,384
695,Penitentiary,287000,287000,NA,100000,10-May-80,NA,NA,NA,Original Screenplay,Drama,Contemporary Fiction,NA,NA,5.5,233
696,The Pursuit of D.B. Cooper,2104164,2104164,NA,12000000,13-Nov-81,NA,NA,Universal,Based on Book/Short Story,Adventure,Contemporary Fiction,Roger Spottiswoode,NA,5.8,442
697,Poetic Justice,27450453,27450453,NA,14000000,23-Jul-93,NA,NA,Sony/Columbia,Original Screenplay,Drama,Contemporary Fiction,John Singleton,36,5.1,3689
698,Porky's,109492484,109492484,NA,4000000,19-Mar-82,NA,NA,20th Century Fox,Original Screenplay,Comedy,Historical Fiction,NA,NA,5.8,15861
699,"Peace, Propaganda and the Promised Land",4930,4930,NA,70000,28-Jan-05,Not Rated,NA,Arab Film Distribution,Based on Real Life Events,Documentary,Factual,NA,NA,3,75
700,Popeye,49823037,49823037,NA,20000000,12-Dec-80,NA,NA,Paramount Pictures,NA,NA,NA,Robert Altman,56,4.9,11433
701,Predator 2,28317513,54768418,NA,35000000,21-Nov-90,NA,NA,20th Century Fox,Original Screenplay,Action,Science Fiction,Stephen Hopkins,23,6,35411
